Stock,Symbol,Signal Date,Signal,Entry Price,Stop Loss,Take Profit,Shares,Exit Date,Exit Price,Bars Held,Exit Reason,Status,Position Value,Entry Transaction Cost,Gross PnL,Exit Transaction Cost,Transaction Costs,Net PnL,Return %,Capital Before,Capital After
SUZLON,SUZLON-EQ,2022-10-13,SELL,6.7932,7.13286,6.11388,2367,2022-10-17,7.1399928599999996,2,STOP_LOSS,CLOSED,16079.5044,8.0397522,-820.8586996199997,8.450181549809999,16.48993374981,-837.3486333698097,-5.2075524999999985,80425.27961166193,79587.93097829212
RELIANCE,RELIANCE-EQ,2022-11-01,BUY,1149.52838,1092.051961,1264.4812180000001,16,2023-01-24,1090.959909039,59,STOP_LOSS,CLOSED,18392.45408,9.19622704,-937.095535376,8.727679272312,17.923906312312,-955.0194416883121,-5.192452500000001,97368.67991655236,96413.66047486405
IRFC,IRFC-EQ,2022-11-07,BUY,24.724699999999995,23.488464999999994,27.197169999999996,638,2022-11-16,27.169972829999995,6,TAKE_PROFIT,CLOSED,15774.358599999996,7.887179299999998,1560.0840655400002,8.66722133277,16.554400632769998,1543.5296649072302,9.785055000000003,78967.02960951236,80510.5592744196
SUZLON,SUZLON-EQ,2022-11-30,BUY,9.25925,8.7962875,10.185175000000001,1739,2022-12-05,10.174989825,3,TAKE_PROFIT,CLOSED,16101.83575,8.050917875,1592.4715556750018,8.8471536528375,16.8980715278375,1575.5734841471642,9.78505500000001,80510.5592744196,82086.13275856676
TATAMOTORS,TATAMOTORS-EQ,2022-12-01,BUY,265.5653,252.28703499999997,292.12183,48,2022-12-08,252.03474796499998,5,STOP_LOSS,CLOSED,12747.134399999999,6.3735672,-649.46649768,6.04883395116,12.422401151159999,-661.88889883116,-5.1924525,64400.672606544606,63738.783707713446
TATAMOTORS,TATAMOTORS-EQ,2022-12-12,SELL,250.46928,262.992744,225.422352,65,2023-01-27,263.255736744,33,STOP_LOSS,CLOSED,16280.5032,8.140251600000001,-831.1196883599995,8.55581144418,16.69606304418,-847.8157514041795,-5.207552499999998,81424.24385973561,80576.42810833143
RELIANCE,RELIANCE-EQ,2023-01-30,SELL,1070.0888400000001,1123.5932820000003,963.0799560000002,18,2023-05-02,1109.1780699999997,60,TIME_EXIT,CLOSED,19261.599120000003,9.630799560000002,-703.6061399999926,9.982602629999997,19.61340219,-723.2195421899926,-3.7547222205400796,98023.05897368312,97299.83943149312
TATAMOTORS,TATAMOTORS-EQ,2023-02-08,BUY,266.68642,253.35209899999998,293.35506200000003,59,2023-02-27,253.09874690099997,13,STOP_LOSS,CLOSED,15734.49878,7.8672493900000005,-801.6727128410016,7.466413033579499,15.3336624235795,-817.0063752645812,-5.192452500000011,78751.82905412311,77934.82267885853
SUZLON,SUZLON-EQ,2023-03-16,SELL,7.8921,8.286705000000001,7.10289,1975,2023-03-28,7.10999289,8,TAKE_PROFIT,CLOSED,15586.897500000001,7.793448750000001,1544.6615422500001,7.021117978875,14.814566728875,1529.8469755211252,9.814955,77934.82267885853,79464.66965437966
SBIN,SBIN-EQ,2023-03-27,SELL,509.63984999999997,535.1218425,458.675865,24,2023-04-11,535.6569643424999,8,STOP_LOSS,CLOSED,12231.356399999999,6.1156782,-624.4107442199988,6.42788357211,12.54356177211,-636.9543059921089,-5.207552499999991,62340.13173010853,61703.17742411642
