Symbol,LTP,SMMA20,SMMA120,RSI,Signal,Confidence,Reason,Historical Rows,Scan Time
HDFCGROWTH-EQ,123.75,118.33,118.92,68.78,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:46:36
TEAMGTY-EQ,220.01,228.37,254.01,45.02,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,167,2026-08-12 19:46:38
AURUM-EQ,224.97,219.28,191.32,52.09,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:39
MNC-EQ,34.86,33.79,32.21,66.99,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:40
GUJENERGY-EQ,274.35,296.22,361.59,40.83,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:46:42
JINDWORLD-EQ,36.74,34.54,28.5,53.59,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:43
SIRCA-EQ,435.9,417.64,437.57,61.59,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:46:45
CASTROLIND-EQ,188.38,186.25,184.94,53.73,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:46
OAL-EQ,365.0,356.1,306.13,50.5,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:47
AYMSYNTEX-EQ,254.2,240.47,205.07,59.58,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:49
HDFCQUAL-EQ,60.27,58.23,57.85,73.49,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:46:50
RAMRAT-EQ,473.95,429.42,367.48,64.06,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:52
JYOTHYLAB-EQ,200.27,203.17,229.63,46.55,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:46:53
BALPHARMA-EQ,90.94,86.34,78.13,57.39,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:54
M&MFIN-EQ,395.85,359.15,341.34,60.95,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:56
TALBROAUTO-EQ,417.35,399.51,318.5,54.61,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:57
HDFCNIFTY-EQ,274.52,272.14,274.83,53.79,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:46:58
RHL-EQ,169.25,174.18,182.84,44.38,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:47:00
VGL-EQ,60.14,62.81,64.74,37.97,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:47:01
PTL-EQ,39.3,40.0,39.5,41.5,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:47:03
LOWVOL-EQ,210.75,207.82,206.03,55.62,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,165,2026-08-12 19:47:04
SUVEN-EQ,330.55,308.0,218.76,55.86,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:05
SALSTEEL-EQ,63.05,58.17,50.28,59.67,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:07
NDLVENTURE-EQ,128.79,128.19,115.22,51.43,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:11
