Symbol,LTP,SMMA20,SMMA120,RSI,Signal,Confidence,Reason,Historical Rows,Scan Time
MUFIN-EQ,135.4,129.68,118.49,60.17,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:25
JSWINFRA-EQ,346.6,323.34,284.74,62.63,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:29
SSWL-EQ,312.5,277.6,223.86,67.47,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:31
LLOYDSENGG-EQ,92.41,87.08,64.37,54.87,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:34
IRMENERGY-EQ,293.65,271.19,258.32,67.15,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:36
HISARMETAL-EQ,149.0,151.63,155.04,46.75,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:47:45
BIGBLOC-EQ,45.87,47.67,53.8,41.92,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:47:46
SHANKARA-EQ,141.5,135.14,118.56,60.7,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:53
SETF10GILT-EQ,266.79,264.47,260.49,59.69,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:56
ARENTERP-EQ,37.29,38.43,40.18,46.93,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,167,2026-08-12 19:47:57
WIPL-EQ,167.9,166.66,156.13,50.09,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:48:00
ZAGGLE-EQ,201.71,208.0,246.89,42.92,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:03
VBL-EQ,438.7,466.28,473.33,38.14,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:06
JKPAPER-EQ,388.9,377.27,357.6,55.4,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:48:10
PENIND-EQ,159.7,164.4,166.46,41.04,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:11
PARKHOTELS-EQ,119.24,122.36,122.76,41.83,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:13
MBAPL-EQ,165.99,142.38,107.54,68.97,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:48:22
SULA-EQ,151.0,157.15,171.68,41.97,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:27
JKTYRE-EQ,386.0,399.53,438.53,42.05,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:29
ABSLBANETF-EQ,59.45,58.69,58.56,56.54,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:48:32
IEX-EQ,125.0,125.75,127.46,47.09,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:38
ALPA-EQ,67.17,68.0,68.57,46.19,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:41
SUNTECK-EQ,292.7,307.69,344.28,38.75,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:44
JKIL-EQ,491.35,492.35,515.53,49.5,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:47
PARAGMILK-EQ,215.79,223.46,233.27,42.26,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:54
UDS-EQ,209.8,197.1,173.5,59.97,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:48:55
EMULTIMQ-EQ,42.2,41.5,41.21,61.7,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:48:58
