Stock,Symbol,LTP,Price,Bid Price,Bid Quantity,Ask Price,Ask Quantity,Total Buy Quantity,Total Sell Quantity,Last Trade Quantity,Trade Volume,Average Price,SMMA20,SMMA120,RSI,ETQ 5m,ETQ 20m,ETQ 60m,Average LTP 20m,Average LTP 60m,Crossover,Crossover Price,Signal,Confidence,Liquidity Pass,LTP Pass,Reasons,Scan Time
SAKSOFT,SAKSOFT-EQ,163.0,163.0,0.0,0.0,163.0,55.0,0.0,55.0,5.0,259744.0,163.73,166.46584471734153,159.54491685897327,48.234510326449026,,,,,,BUY,185.02,HOLD,10.0,False,True,"['Price is below SMMA20', 'SMMA20 is above SMMA120', 'RSI shows weak momentum']",2026-08-12 17:45:44
DCMNVL,DCMNVL-EQ,179.26,179.26,0.0,0.0,179.26,913.0,0.0,913.0,797.0,190940.0,179.14,151.70081965032395,138.25892890330522,75.51575243882937,,,,,,NONE,,HOLD,50.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI is overbought']",2026-08-12 17:45:47
HDFCGROWTH,HDFCGROWTH-EQ,122.83,122.83,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28517.0,122.82,118.32794866391482,118.91639430707502,76.11070648215592,,,,,,NONE,,HOLD,10.0,False,True,"['Price is above SMMA20', 'SMMA20 is below SMMA120', 'RSI is overbought']",2026-08-12 17:45:49
TEAMGTY,TEAMGTY-EQ,220.28,220.28,0.0,0.0,220.28,21.0,0.0,21.0,39.0,28107.0,220.18,228.3700575347731,254.00969503401217,44.91069880353736,,,,,,NONE,,SELL,70.0,False,True,"['Price is below SMMA20', 'SMMA20 is below SMMA120', 'RSI shows weak momentum']",2026-08-12 17:45:51
AURUM,AURUM-EQ,226.04,226.04,0.0,0.0,0.0,0.0,0.0,0.0,26.0,84742.0,226.66,219.28169258378253,191.319989471427,48.89492753623188,,,,,,NONE,,HOLD,50.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows weak momentum']",2026-08-12 17:45:54
MNC,MNC-EQ,34.82,34.82,0.0,0.0,0.0,0.0,0.0,0.0,50.0,41775.0,34.8,33.79385946951003,32.20883604015004,78.4313725490197,,,,,,NONE,,HOLD,50.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI is overbought']",2026-08-12 17:45:58
GUJENERGY,GUJENERGY-EQ,274.35,274.35,274.35,3398.0,0.0,0.0,3398.0,0.0,15.0,6836300.0,279.97,296.2244170470124,361.5879438796256,62.173913043478315,,,,,,NONE,,HOLD,35.0,False,True,"['Price is below SMMA20', 'SMMA20 is below SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:46:05
JINDWORLD,JINDWORLD-EQ,36.74,36.74,0.0,0.0,36.74,885.0,0.0,885.0,50.0,7686074.0,36.64,34.544404638208746,28.501570182594218,59.31034482758623,,,,,,NONE,,BUY,85.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:46:07
SIRCA,SIRCA-EQ,435.9,435.9,435.9,200.0,0.0,0.0,200.0,0.0,1.0,369452.0,435.99,417.6353851055372,437.5692395880105,73.59955629506376,,,,,,NONE,,HOLD,10.0,False,True,"['Price is above SMMA20', 'SMMA20 is below SMMA120', 'RSI is overbought']",2026-08-12 17:46:10
CASTROLIND,CASTROLIND-EQ,188.38,188.38,188.38,3876.0,0.0,0.0,3876.0,0.0,5.0,5108944.0,188.38,186.25042616769153,184.93639701262356,56.656613528651455,,,,,,BUY,191.54,BUY,85.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:46:12
OAL,OAL-EQ,364.6,364.6,0.0,0.0,364.6,1.0,0.0,1.0,1.0,10610.0,369.25,356.0999254563541,306.12574514594087,53.871849377467356,,,,,,NONE,,BUY,70.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows mild bullish momentum']",2026-08-12 17:46:15
AYMSYNTEX,AYMSYNTEX-EQ,253.2,253.2,0.0,0.0,253.2,10.0,0.0,10.0,1.0,98725.0,250.13,240.46532747724513,205.0686173213067,68.95640686922059,,,,,,NONE,,BUY,85.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:46:17
