date,Symbol,close,future_return,target,prediction,probability_up,probability_down,fold,train_start,train_end,test_start,test_end,confidence,direction,trade_return,position_size,optimized_return,result
2026-04-10 00:00:00+05:30,SBIN-EQ,1066.7,0.0385769194712664,1,1,0.6603355349844643,0.3396644650155357,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6603355349844643,BUY,0.0385769194712664,1.0,0.0385769194712664,WIN
2026-04-16 00:00:00+05:30,ITC-EQ,303.4,0.0062623599208966,1,0,0.3475736143028168,0.6524263856971831,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6524263856971831,SELL,-0.0062623599208966,1.0,-0.0062623599208966,LOSS
2026-04-22 00:00:00+05:30,ITC-EQ,305.5,0.0351882160392797,1,0,0.3038321994818218,0.6961678005181782,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6961678005181782,SELL,-0.0351882160392797,1.0,-0.0351882160392797,LOSS
2026-04-23 00:00:00+05:30,TATAMOTORS-EQ,351.95,-0.0295496519391958,0,0,0.2364431278871808,0.7635568721128192,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7635568721128192,SELL,0.0295496519391958,1.0,0.0295496519391958,WIN
2026-04-24 00:00:00+05:30,ITC-EQ,301.6,0.0314986737400531,1,0,0.1991591611054785,0.8008408388945215,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.8008408388945215,SELL,-0.0314986737400531,1.0,-0.0314986737400531,LOSS
2026-04-24 00:00:00+05:30,SUZLON-EQ,53.91,0.0194769059543684,1,0,0.3218294731867887,0.6781705268132113,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6781705268132113,SELL,-0.0194769059543684,1.0,-0.0194769059543684,LOSS
2026-04-24 00:00:00+05:30,TATAMOTORS-EQ,350.5,-0.0212553495007132,0,0,0.2648220173304847,0.7351779826695153,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7351779826695153,SELL,0.0212553495007132,1.0,0.0212553495007132,WIN
2026-04-27 00:00:00+05:30,TATAMOTORS-EQ,354.35,-0.040073373782983,0,0,0.2964369933033154,0.7035630066966845,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7035630066966845,SELL,0.040073373782983,1.0,0.040073373782983,WIN
2026-04-28 00:00:00+05:30,TATAMOTORS-EQ,350.8,0.0209521094640821,1,0,0.258715776504644,0.7412842234953559,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7412842234953559,SELL,-0.0209521094640821,1.0,-0.0209521094640821,LOSS
2026-04-29 00:00:00+05:30,TATAMOTORS-EQ,352.7,0.0185710235327474,1,0,0.1919153988533861,0.8080846011466138,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.8080846011466138,SELL,-0.0185710235327474,1.0,-0.0185710235327474,LOSS
2026-04-30 00:00:00+05:30,TATAMOTORS-EQ,341.55,0.0406968233055189,1,0,0.2770498726732825,0.7229501273267175,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7229501273267175,SELL,-0.0406968233055189,1.0,-0.0406968233055189,LOSS
2026-05-04 00:00:00+05:30,TATAMOTORS-EQ,343.05,0.0085993295437982,1,0,0.2061513116691938,0.7938486883308061,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7938486883308061,SELL,-0.0085993295437982,1.0,-0.0085993295437982,LOSS
2026-05-05 00:00:00+05:30,SUZLON-EQ,54.85,-0.0607110300820419,0,0,0.3298789974115148,0.6701210025884852,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6701210025884852,SELL,0.0607110300820419,1.0,0.0607110300820419,WIN
2026-05-05 00:00:00+05:30,TATAMOTORS-EQ,340.15,-0.0097016022343082,0,0,0.2514375718808128,0.7485624281191872,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7485624281191872,SELL,0.0097016022343082,1.0,0.0097016022343082,WIN
2026-05-06 00:00:00+05:30,ITC-EQ,310.7,-0.020115867396202,0,0,0.3443461694664765,0.6556538305335236,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6556538305335236,SELL,0.020115867396202,1.0,0.020115867396202,WIN
2026-05-07 00:00:00+05:30,ITC-EQ,307.4,-0.0006506180871828,0,0,0.2257654078763661,0.7742345921236339,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7742345921236339,SELL,0.0006506180871828,1.0,0.0006506180871828,WIN
2026-05-07 00:00:00+05:30,RELIANCE-EQ,1436.2,-0.0518033700041777,0,0,0.3440643703437175,0.6559356296562825,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6559356296562825,SELL,0.0518033700041777,1.0,0.0518033700041777,WIN
2026-05-08 00:00:00+05:30,SUZLON-EQ,54.97,-0.0205566672730579,0,0,0.263751709738303,0.736248290261697,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.736248290261697,SELL,0.0205566672730579,1.0,0.0205566672730579,WIN
2026-05-08 00:00:00+05:30,ITC-EQ,307.45,0.0065051227841925,1,0,0.2547291452710827,0.7452708547289173,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7452708547289173,SELL,-0.0065051227841925,1.0,-0.0065051227841925,LOSS
2026-05-11 00:00:00+05:30,TATAMOTORS-EQ,346.0,0.0206647398843931,1,0,0.3250382393698029,0.6749617606301971,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6749617606301971,SELL,-0.0206647398843931,1.0,-0.0206647398843931,LOSS
2026-05-11 00:00:00+05:30,SUZLON-EQ,53.3,-0.0009380863039398,0,0,0.3331347343837675,0.6668652656162324,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6668652656162324,SELL,0.0009380863039398,1.0,0.0009380863039398,WIN
2026-05-11 00:00:00+05:30,ITC-EQ,305.85,0.0140591793362758,1,0,0.3102296910196873,0.6897703089803127,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6897703089803127,SELL,-0.0140591793362758,1.0,-0.0140591793362758,LOSS
2026-05-11 00:00:00+05:30,RELIANCE-EQ,1388.2,-0.0376746866445756,0,0,0.2498373862731727,0.7501626137268272,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7501626137268272,SELL,0.0376746866445756,1.0,0.0376746866445756,WIN
2026-05-12 00:00:00+05:30,TATAMOTORS-EQ,336.85,0.0722873682648062,1,0,0.3497762701288784,0.6502237298711215,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6502237298711215,SELL,-0.0722873682648062,1.0,-0.0722873682648062,LOSS
2026-05-12 00:00:00+05:30,ITC-EQ,300.7,0.0319255071499835,1,0,0.331415812930671,0.668584187069329,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.668584187069329,SELL,-0.0319255071499835,1.0,-0.0319255071499835,LOSS
2026-05-12 00:00:00+05:30,RELIANCE-EQ,1364.0,-0.0302785923753665,0,0,0.3216533548912317,0.6783466451087683,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6783466451087683,SELL,0.0302785923753665,1.0,0.0302785923753665,WIN
2026-05-13 00:00:00+05:30,ITC-EQ,304.45,0.0101822959435047,1,0,0.3465215999213891,0.6534784000786109,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6534784000786109,SELL,-0.0101822959435047,1.0,-0.0101822959435047,LOSS
2026-05-13 00:00:00+05:30,RELIANCE-EQ,1358.8,0.0006623491315866,1,0,0.2443298661710427,0.7556701338289572,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7556701338289572,SELL,-0.0006623491315866,1.0,-0.0006623491315866,LOSS
2026-05-13 00:00:00+05:30,TATAMOTORS-EQ,336.85,0.0724358022858837,1,0,0.2336474157679812,0.7663525842320188,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7663525842320188,SELL,-0.0724358022858837,1.0,-0.0724358022858837,LOSS
2026-05-14 00:00:00+05:30,TATAMOTORS-EQ,338.75,0.0667158671586716,1,0,0.2159868177350419,0.7840131822649581,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7840131822649581,SELL,-0.0667158671586716,1.0,-0.0667158671586716,LOSS
2026-05-14 00:00:00+05:30,RELIANCE-EQ,1361.8,-0.0089587310912028,0,0,0.2819917276202681,0.7180082723797319,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7180082723797319,SELL,0.0089587310912028,1.0,0.0089587310912028,WIN
2026-05-14 00:00:00+05:30,SBIN-EQ,979.9,-0.0295948566180223,0,0,0.3451276655550507,0.6548723344449493,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6548723344449493,SELL,0.0295948566180223,1.0,0.0295948566180223,WIN
2026-05-14 00:00:00+05:30,SUZLON-EQ,53.47,-0.0112212455582569,0,0,0.3188754522724472,0.6811245477275528,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6811245477275528,SELL,0.0112212455582569,1.0,0.0112212455582569,WIN
2026-05-15 00:00:00+05:30,RELIANCE-EQ,1336.4,0.0135438491469619,1,0,0.2648959463270662,0.7351040536729339,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7351040536729339,SELL,-0.0135438491469619,1.0,-0.0135438491469619,LOSS
2026-05-15 00:00:00+05:30,SUZLON-EQ,53.84,-0.0016716196136702,0,0,0.322582569914043,0.677417430085957,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.677417430085957,SELL,0.0016716196136702,1.0,0.0016716196136702,WIN
